Name,Latitude,Longitude,Latitude (Rad),Longitude (Rad),Timestamp,Time Delta (s),Haversine Distance (Km),Haversine Distance (m),Velocity (m / s) = Distance (m) / Time (s)
2,40.18355,-8.41375,0.7013352526,-0.1468476399,1/23/2016 11:53:07,0.00,0,0,0.00
3,40.18606,-8.41475,0.7013790604,-0.1468650932,1/23/2016 11:53:08,1.16,0.2917409458,291.7409458,252.06
4,40.18515,-8.41437,0.7013631779,-0.146858461,1/23/2016 11:53:09,1.16,0.1062116148,106.2116148,91.77
5,40.18455,-8.41418,0.7013527059,-0.1468551449,1/23/2016 11:53:12,3.47,0.06864155564,68.64155564,19.77
6,40.18411,-8.41407,0.7013450265,-0.146853225,1/23/2016 11:53:16,4.63,0.04981014112,49.81014112,10.76
7,40.18417,-8.41392,0.7013460737,-0.146850607,1/23/2016 11:53:17,1.16,0.01438343624,14.38343624,12.43
8,40.1848,-8.4141,0.7013570693,-0.1468537486,1/23/2016 11:53:18,1.16,0.07170221901,71.70221901,61.95
9,40.18655,-8.41478,0.7013876125,-0.1468656168,1/23/2016 11:53:19,1.16,0.2029839225,202.9839225,175.38
10,40.18628,-8.41471,0.7013829001,-0.1468643951,1/23/2016 11:53:20,1.16,0.0306058312,30.6058312,26.44
11,40.18623,-8.41471,0.7013820275,-0.1468643951,1/23/2016 11:53:21,1.16,0.005559746332,5.559746332,4.80
12,40.18623,-8.41471,0.7013820275,-0.1468643951,1/23/2016 11:53:22,1.16,0,0,0.00
13,40.18608,-8.41464,0.7013794095,-0.1468631734,1/23/2016 11:53:23,1.16,0.0177075087,17.7075087,15.30
14,40.1861,-8.41467,0.7013797585,-0.146863697,1/23/2016 11:53:24,1.16,0.003382339418,3.382339418,2.92
15,40.18611,-8.41466,0.7013799331,-0.1468635224,1/23/2016 11:53:25,1.16,0.001399300337,1.399300337,1.21
16,40.18611,-8.41464,0.7013799331,-0.1468631734,1/23/2016 11:53:26,1.16,0.001698952804,1.698952804,1.47
17,40.18612,-8.41462,0.7013801076,-0.1468628243,1/23/2016 11:53:27,1.16,0.002030485503,2.030485503,1.75
18,40.18614,-8.41459,0.7013804567,-0.1468623007,1/23/2016 11:53:28,1.16,0.003382338285,3.382338285,2.92
19,40.18612,-8.41458,0.7013801076,-0.1468621262,1/23/2016 11:53:29,1.16,0.002380616395,2.380616395,2.06
20,40.18614,-8.41456,0.7013804567,-0.1468617771,1/23/2016 11:53:30,1.16,0.002798600296,2.798600296,2.42
21,40.18614,-8.41454,0.7013804567,-0.146861428,1/23/2016 11:53:31,1.16,0.001698952053,1.698952053,1.47
22,40.18615,-8.41453,0.7013806312,-0.1468612535,1/23/2016 11:53:32,1.16,0.001399300033,1.399300033,1.21
23,40.18616,-8.41452,0.7013808057,-0.146861079,1/23/2016 11:53:33,1.16,0.001399299958,1.399299958,1.21
24,40.18617,-8.41452,0.7013809803,-0.146861079,1/23/2016 11:53:34,1.16,0.001111949266,1.111949266,0.96
25,40.18618,-8.41451,0.7013811548,-0.1468609044,1/23/2016 11:53:35,1.16,0.001399299806,1.399299806,1.21
26,40.18619,-8.4145,0.7013813293,-0.1468607299,1/23/2016 11:53:36,1.16,0.00139929973,1.39929973,1.21
27,40.1862,-8.4145,0.7013815039,-0.1468607299,1/23/2016 11:53:37,1.16,0.001111949266,1.111949266,0.96
28,40.18621,-8.41449,0.7013816784,-0.1468605554,1/23/2016 11:53:38,1.16,0.001399299578,1.399299578,1.21
29,40.18622,-8.41448,0.7013818529,-0.1468603808,1/23/2016 11:53:39,1.16,0.001399299501,1.399299501,1.21
30,40.18622,-8.41447,0.7013818529,-0.1468602063,1/23/2016 11:53:40,1.16,0.0008494750245,0.8494750245,0.73
31,40.18623,-8.41446,0.7013820275,-0.1468600318,1/23/2016 11:53:41,1.16,0.001399299426,1.399299426,1.21
32,40.18623,-8.41446,0.7013820275,-0.1468600318,1/23/2016 11:53:42,1.16,0,0,0.00
33,40.18623,-8.41445,0.7013820275,-0.1468598572,1/23/2016 11:53:43,1.16,0.0008494748991,0.8494748991,0.73
34,40.18624,-8.41444,0.701382202,-0.1468596827,1/23/2016 11:53:44,1.16,0.00139929935,1.39929935,1.21
35,40.18624,-8.41443,0.701382202,-0.1468595082,1/23/2016 11:53:45,1.16,0.0008494747742,0.8494747742,0.73
36,40.18625,-8.41442,0.7013823765,-0.1468593336,1/23/2016 11:53:46,1.16,0.001399299274,1.399299274,1.21
37,40.18626,-8.41441,0.7013825511,-0.1468591591,1/23/2016 11:53:47,1.16,0.001399299197,1.399299197,1.21
38,40.18626,-8.4144,0.7013825511,-0.1468589846,1/23/2016 11:53:48,1.16,0.0008494745234,0.8494745234,0.73
39,40.18627,-8.41439,0.7013827256,-0.14685881,1/23/2016 11:53:49,1.16,0.001399299122,1.399299122,1.21
40,40.18627,-8.41438,0.7013827256,-0.1468586355,1/23/2016 11:53:50,1.16,0.0008494743982,0.8494743982,0.73
41,40.18627,-8.41436,0.7013827256,-0.1468582864,1/23/2016 11:53:51,1.16,0.001698948797,1.698948797,1.47
42,40.18627,-8.41435,0.7013827256,-0.1468581119,1/23/2016 11:53:52,1.16,0.0008494743982,0.8494743982,0.73
43,40.18626,-8.41434,0.7013825511,-0.1468579374,1/23/2016 11:53:53,1.16,0.001399299122,1.399299122,1.21
44,40.18626,-8.41433,0.7013825511,-0.1468577628,1/23/2016 11:53:54,1.16,0.0008494745234,0.8494745234,0.73
45,40.18625,-8.41431,0.7013823765,-0.1468574138,1/23/2016 11:53:55,1.16,0.002030482568,2.030482568,1.75
46,40.18625,-8.4143,0.7013823765,-0.1468572393,1/23/2016 11:53:56,1.16,0.0008494746488,0.8494746488,0.73
47,40.18625,-8.4143,0.7013823765,-0.1468572393,1/23/2016 11:53:57,1.16,0,0,0.00
48,40.18625,-8.41428,0.7013823765,-0.1468568902,1/23/2016 11:53:58,1.16,0.001698949298,1.698949298,1.47
49,40.18625,-8.41427,0.7013823765,-0.1468567157,1/23/2016 11:53:59,1.16,0.0008494746488,0.8494746488,0.73
50,40.18624,-8.41426,0.701382202,-0.1468565411,1/23/2016 11:54:00,1.16,0.001399299274,1.399299274,1.21
